                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.795,                 2.9063,                 1.6361,                0.48322,                0.36304,                0.34851,                0.19988,                 1.6531,                 2.0261,                 1.4929,               0.070556,              0.0032716,              0.0032716
                      1,                  1.587,                 1.8281,                 1.4543,                0.38599,                0.35583,                0.30812,                0.16219,                   1.74,                 2.0338,                 1.6258,                0.04049,              0.0065395,              0.0065395
                      2,                 1.7153,                 1.9145,                 1.5087,                0.05178,                0.14095,                0.02907,                0.01017,                 2.6849,                 39.764,                 2.5412,               0.010359,              0.0097415,              0.0097415
                      3,                 1.9808,                 2.2814,                 1.6707,                0.15648,                0.14911,                0.07518,                0.02751,                 2.4944,                 6.8158,                 2.6763,               0.009703,               0.009703,               0.009703
                      4,                 2.0299,                 2.3733,                 1.7584,                0.08049,                0.20035,                0.06913,                0.02868,                 2.3461,                 7.8953,                 2.4984,               0.009703,               0.009703,               0.009703
                      5,                 1.9618,                 2.2344,                  1.677,                0.25276,                0.21135,                0.13507,                0.05154,                 2.2203,                 3.6795,                  2.078,               0.009604,               0.009604,               0.009604
                      6,                  1.913,                 2.1749,                 1.6593,                 0.2004,                0.22538,                0.14496,                0.05706,                   2.36,                 3.1743,                 2.2094,               0.009505,               0.009505,               0.009505
                      7,                 1.8877,                 2.1274,                 1.6469,                0.32502,                0.30091,                0.26515,                0.12268,                 2.0158,                 2.3726,                 1.7963,               0.009406,               0.009406,               0.009406
                      8,                 1.8368,                  2.055,                 1.6027,                0.28867,                0.26153,                0.20237,                0.10154,                 2.0188,                 2.3071,                 1.7954,               0.009307,               0.009307,               0.009307
                      9,                 1.7922,                 2.0091,                 1.5858,                0.37298,                0.32432,                0.29266,                0.14147,                 1.9048,                  2.281,                 1.7278,               0.009208,               0.009208,               0.009208
                     10,                 1.8039,                 1.9088,                 1.5659,                0.36444,                0.28651,                0.26297,                0.12755,                 1.9897,                 2.1743,                 1.7159,               0.009109,               0.009109,               0.009109
                     11,                  1.764,                 1.8782,                 1.5634,                0.39291,                 0.3666,                0.33959,                 0.1731,                 1.8867,                 1.9762,                 1.6852,                0.00901,                0.00901,                0.00901
                     12,                 1.7281,                 1.8313,                 1.5452,                0.46758,                0.40581,                0.40264,                0.22183,                 1.7194,                 1.8103,                 1.5646,               0.008911,               0.008911,               0.008911
                     13,                 1.7145,                 1.8181,                 1.5131,                0.49531,                0.40401,                0.40172,                0.21198,                 1.7491,                 1.8697,                 1.5728,               0.008812,               0.008812,               0.008812
                     14,                 1.6855,                 1.7428,                 1.5106,                0.46659,                0.43744,                0.43427,                0.22968,                  1.729,                 1.7243,                 1.5592,               0.008713,               0.008713,               0.008713
                     15,                 1.6593,                 1.6931,                 1.4873,                0.52829,                 0.4856,                0.47869,                0.26458,                 1.6367,                 1.6965,                 1.4948,               0.008614,               0.008614,               0.008614
                     16,                 1.6242,                 1.6556,                 1.4796,                0.55271,                0.48775,                0.50867,                0.27476,                 1.6381,                 1.5181,                 1.4939,               0.008515,               0.008515,               0.008515
                     17,                 1.6089,                 1.6193,                 1.4632,                0.57734,                 0.4961,                0.53029,                0.30528,                 1.5598,                 1.5423,                 1.4213,               0.008416,               0.008416,               0.008416
                     18,                  1.602,                 1.6255,                 1.4525,                0.56595,                0.48359,                0.51301,                0.29324,                 1.5731,                 1.5211,                 1.4373,               0.008317,               0.008317,               0.008317
                     19,                 1.6152,                 1.5844,                 1.4606,                0.57624,                0.48409,                0.51568,                0.28981,                 1.5876,                  1.508,                 1.4731,               0.008218,               0.008218,               0.008218
                     20,                 1.5723,                 1.5327,                 1.4341,                0.67044,                0.50013,                0.57297,                 0.3224,                 1.5337,                 1.4295,                 1.4073,               0.008119,               0.008119,               0.008119
                     21,                 1.5442,                 1.4761,                 1.3953,                0.67787,                0.54734,                0.60507,                0.34571,                 1.5302,                 1.3143,                 1.3795,                0.00802,                0.00802,                0.00802
                     22,                 1.5207,                 1.4679,                 1.3947,                 0.6682,                0.55515,                0.60622,                0.35785,                 1.5126,                 1.3146,                 1.3883,               0.007921,               0.007921,               0.007921
                     23,                  1.528,                 1.4681,                 1.4072,                0.70397,                0.57764,                0.64373,                0.40079,                 1.4161,                 1.2312,                 1.3248,               0.007822,               0.007822,               0.007822
                     24,                 1.5133,                 1.4175,                 1.3942,                0.68595,                0.60071,                0.64781,                0.39408,                 1.4264,                 1.1856,                 1.3273,               0.007723,               0.007723,               0.007723
                     25,                 1.4921,                 1.4117,                 1.3776,                0.72744,                0.61505,                0.67726,                0.41773,                 1.4064,                 1.1753,                 1.2931,               0.007624,               0.007624,               0.007624
                     26,                 1.4774,                  1.402,                 1.3771,                0.70156,                0.61895,                0.68027,                0.41702,                 1.3804,                 1.1971,                 1.2859,               0.007525,               0.007525,               0.007525
                     27,                 1.4734,                  1.353,                 1.3919,                0.70607,                 0.5787,                0.64486,                0.39538,                 1.4252,                 1.2452,                 1.3482,               0.007426,               0.007426,               0.007426
                     28,                 1.4638,                 1.3312,                 1.3681,                0.72445,                0.61387,                 0.6767,                0.42037,                 1.3831,                 1.1297,                 1.2965,               0.007327,               0.007327,               0.007327
                     29,                 1.4438,                 1.2836,                 1.3444,                0.72184,                0.67405,                0.72524,                0.46038,                 1.3446,                 1.0665,                 1.2448,               0.007228,               0.007228,               0.007228
                     30,                 1.4502,                 1.2817,                 1.3523,                0.75331,                0.65889,                0.72065,                0.44779,                 1.3398,                 1.0825,                 1.2795,               0.007129,               0.007129,               0.007129
                     31,                 1.3971,                  1.248,                 1.3157,                0.74996,                0.65314,                0.72709,                0.45712,                 1.3249,                 1.0652,                 1.2603,                0.00703,                0.00703,                0.00703
                     32,                 1.4011,                 1.2449,                 1.3156,                0.78894,                0.68917,                0.76413,                0.49022,                 1.2873,                0.99294,                 1.2263,               0.006931,               0.006931,               0.006931
                     33,                  1.382,                 1.1982,                 1.3077,                0.78983,                0.68858,                0.75753,                0.47862,                 1.3046,                0.99171,                 1.2388,               0.006832,               0.006832,               0.006832
                     34,                 1.3811,                 1.2019,                 1.3092,                0.77914,                0.71734,                 0.7715,                0.50121,                 1.2597,                0.93466,                 1.2112,               0.006733,               0.006733,               0.006733
                     35,                 1.3711,                 1.1938,                 1.2951,                0.79133,                 0.7036,                0.77265,                0.50117,                 1.2644,                0.95734,                 1.2203,               0.006634,               0.006634,               0.006634
                     36,                 1.3651,                 1.1817,                 1.3098,                 0.7769,                0.68301,                0.75394,                0.48426,                 1.3157,                0.99838,                 1.2382,               0.006535,               0.006535,               0.006535
                     37,                 1.3454,                 1.1506,                 1.2963,                0.80677,                 0.7043,                0.77852,                0.51896,                 1.2353,                 0.9244,                 1.1924,               0.006436,               0.006436,               0.006436
